year,rbf_f1,rbf_recall,rbf_precision,rbf_acc,rbf_C,rbf_gamma,rbf_cv_accuracy,poly_f1,poly_recall,poly_precision,poly_acc,poly_C,poly_degree,poly_gamma,poly_cv_accuracy,runtime_sec,n_train,n_test
1981,0.2285714285714285,0.1777777777777777,0.32,0.8797327394209354,10.0,0.1,0.8548736462093863,0.3407407407407407,0.5111111111111111,0.2555555555555555,0.8017817371937639,10.0,3,scale,0.7505415162454874,58.461101055145264,8310,449
1982,0.088235294117647,0.0625,0.15,0.8666666666666667,10.0,0.1,0.8553498101714324,0.24,0.3125,0.1948051948051948,0.7956989247311828,10.0,3,scale,0.7350240355660677,67.26415705680847,8759,465
1983,0.1917808219178082,0.1555555555555555,0.25,0.8608490566037735,10.0,0.1,0.8581975586834593,0.3566878980891719,0.6222222222222222,0.25,0.7617924528301887,10.0,3,scale,0.7340706299711014,74.14483594894409,9224,424
1984,0.1025641025641025,0.0833333333333333,0.1333333333333333,0.8372093023255814,10.0,0.1,0.8621475953565505,0.2515723270440251,0.4166666666666667,0.1801801801801801,0.7232558139534884,10.0,3,scale,0.7349709784411278,82.47528791427612,9648,430
1985,0.2105263157894736,0.1666666666666666,0.2857142857142857,0.8522167487684729,10.0,0.1,0.8628693878563632,0.3375,0.5625,0.2410714285714285,0.7389162561576355,10.0,3,scale,0.7190945788854393,92.51579070091248,10078,406
1986,0.1891891891891892,0.1458333333333333,0.2692307692307692,0.8543689320388349,10.0,0.1,0.8629347291726207,0.3832335329341317,0.6666666666666666,0.2689075630252101,0.75,10.0,3,scale,0.6918229465649813,103.3510410785675,10484,412
1987,0.2716049382716049,0.2291666666666666,0.3333333333333333,0.8591885441527446,10.0,0.1,0.8627019089574156,0.4054054054054054,0.625,0.3,0.7899761336515513,10.0,3,scale,0.6834618208516887,121.7135751247406,10896,419
1988,0.2571428571428571,0.1875,0.4090909090909091,0.8949494949494949,10.0,0.1,0.8624843096170576,0.4117647058823529,0.7291666666666666,0.2868852459016393,0.797979797979798,10.0,3,scale,0.6987265797219558,128.16328883171082,11315,495
1989,0.4,0.3541666666666667,0.4594594594594595,0.917741935483871,10.0,0.1,0.8621514634628186,0.3757575757575757,0.6458333333333334,0.2649572649572649,0.8338709677419355,10.0,3,scale,0.6901003431071903,140.29005122184753,11810,620
1990,0.1975308641975308,0.1666666666666666,0.2424242424242424,0.8800738007380073,0.1,0.1,0.8678993400662481,0.4361702127659574,0.8541666666666666,0.2928571428571428,0.8044280442804428,10.0,3,scale,0.6771512965846783,154.00980877876282,12430,542
1991,0.2790697674418604,0.25,0.3157894736842105,0.8849721706864564,0.1,0.1,0.8699506629663891,0.3959390862944162,0.8125,0.261744966442953,0.7792207792207793,10.0,3,scale,0.6818532223250076,168.80556082725525,12972,539
1992,0.16,0.125,0.2222222222222222,0.8682008368200836,0.1,0.1,0.8734367043246086,0.3888888888888889,0.7291666666666666,0.2651515151515151,0.7698744769874477,10.0,3,scale,0.6773791651562598,183.72514820098877,13511,478
1993,0.325,0.2708333333333333,0.40625,0.8689320388349514,0.1,0.1,0.8733290442490529,0.4968152866242038,0.8125,0.3577981651376147,0.808252427184466,10.0,3,scale,0.6811065837443705,199.57735085487369,13989,412
1994,0.2777777777777778,0.2083333333333333,0.4166666666666667,0.8828828828828829,0.1,0.1,0.8740360659816243,0.4444444444444444,0.7083333333333334,0.3238095238095238,0.8085585585585585,10.0,3,scale,0.6816918061052095,216.0174000263214,14401,444
1995,0.367816091954023,0.3137254901960784,0.4444444444444444,0.868421052631579,0.1,0.1,0.8740313145035982,0.4571428571428571,0.7843137254901961,0.3225806451612903,0.7727272727272727,10.0,3,scale,0.6483674710829769,235.5596160888672,14845,418
1996,0.2898550724637681,0.2083333333333333,0.4761904761904761,0.8558823529411764,0.1,0.1,0.8744020320016617,0.5033112582781457,0.7916666666666666,0.3689320388349514,0.7794117647058824,10.0,3,scale,0.6558339169931658,251.3116459846497,15263,340
1997,0.1066666666666666,0.0784313725490196,0.1666666666666666,0.8218085106382979,0.1,0.1,0.8739344997756842,0.4324324324324324,0.7843137254901961,0.2985074626865671,0.7207446808510638,10.0,2,scale,0.6582708453502532,268.9480621814728,15603,376
1998,0.25,0.1875,0.375,0.8452722063037249,0.1,0.1,0.8741473017044766,0.4417177914110429,0.75,0.3130434782608696,0.7392550143266475,10.0,2,scale,0.6780209661759672,286.68471598625183,15979,349
1999,0.3333333333333333,0.2708333333333333,0.4333333333333333,0.8522727272727273,0.1,0.1,0.8728563631928178,0.4191616766467065,0.7291666666666666,0.2941176470588235,0.7244318181818182,10.0,2,scale,0.6959234892752976,301.7800531387329,16328,352
2000,0.3733333333333333,0.2745098039215686,0.5833333333333334,0.8739946380697051,0.1,0.1,0.871462829736211,0.5348837209302325,0.9019607843137256,0.3801652892561983,0.7855227882037533,10.0,2,scale,0.6986211031175059,328.79802799224854,16680,373
2001,0.3529411764705882,0.2941176470588235,0.4411764705882353,0.8529411764705882,0.1,0.1,0.8719286610710762,0.5057471264367817,0.8627450980392157,0.3577235772357723,0.7700534759358288,10.0,2,scale,0.7118433738096579,331.05963611602783,17053,374
2002,0.3037974683544304,0.2352941176470588,0.4285714285714285,0.8480662983425414,0.1,0.1,0.8711769093934699,0.4831460674157303,0.8431372549019608,0.3385826771653543,0.7458563535911602,10.0,2,scale,0.7036208182704998,349.4025249481201,17427,362
2003,0.3908045977011494,0.3541666666666667,0.4358974358974359,0.834375,0.1,0.1,0.8713811771694866,0.5174825174825175,0.7708333333333334,0.3894736842105263,0.784375,10.0,2,scale,0.6875046301602882,383.9078848361969,17789,320
2004,0.3789473684210526,0.3333333333333333,0.4390243902439024,0.8361111111111111,0.1,0.1,0.8708929772184993,0.4137931034482758,0.6666666666666666,0.3,0.7166666666666667,10.0,2,scale,0.6854631784505086,401.7226092815399,18109,360
2005,0.2954545454545454,0.2280701754385964,0.4193548387096774,0.8351063829787234,0.1,0.1,0.8695651462705934,0.4239130434782608,0.6842105263157895,0.3070866141732283,0.7180851063829787,10.0,2,scale,0.6814140787013864,423.2733099460602,18469,376
2006,0.2857142857142857,0.2222222222222222,0.4,0.8484848484848485,0.1,0.1,0.8686120112838432,0.4606741573033708,0.7592592592592593,0.3306451612903225,0.7575757575757576,10.0,2,scale,0.6767284021861775,470.51011204719543,18845,396
