year,rbf_f1,rbf_recall,rbf_precision,rbf_acc,rbf_C,rbf_gamma,rbf_cv_f1,poly_f1,poly_recall,poly_precision,poly_acc,poly_C,poly_degree,poly_gamma,poly_cv_f1,runtime_sec,n_train,n_test
1960,0.2702702702702703,0.3225806451612903,0.2325581395348837,0.757847533632287,0.1,scale,0.3805580064026266,0.3168316831683168,0.5161290322580645,0.2285714285714285,0.6905829596412556,1,2,scale,0.3513626251390433,13.442766666412354,2007,223
1961,0.3478260869565217,0.6666666666666666,0.2352941176470588,0.7272727272727273,0.1,scale,0.3664303316769684,0.2650602409638554,0.4583333333333333,0.1864406779661017,0.7227272727272728,1,2,scale,0.316763666597381,6.705151557922363,2230,220
1962,0.3076923076923077,0.4444444444444444,0.2352941176470588,0.757847533632287,0.1,scale,0.3784836071821091,0.2368421052631578,0.3333333333333333,0.1836734693877551,0.7399103139013453,10,3,scale,0.3478179478179479,16.346152782440186,2450,223
1963,0.3181818181818182,0.4666666666666667,0.2413793103448276,0.7637795275590551,1.0,0.01,0.3737199162355057,0.2857142857142857,0.4,0.2222222222222222,0.7637795275590551,10,3,scale,0.3368967326139089,18.93898844718933,2673,254
1964,0.3673469387755102,0.6,0.2647058823529412,0.7004830917874396,0.1,scale,0.3631545797098246,0.3571428571428571,0.5,0.2777777777777778,0.7391304347826086,10,3,scale,0.3137235257662157,28.591107606887817,2927,207
1965,0.4848484848484848,0.8,0.3478260869565217,0.751219512195122,1.0,scale,0.3893598372410856,0.4651162790697674,0.6666666666666666,0.3571428571428571,0.775609756097561,10,3,scale,0.3233031987820376,39.02193665504456,3134,205
1966,0.3544303797468354,0.5185185185185185,0.2692307692307692,0.6927710843373494,0.1,scale,0.3711073367788129,0.3846153846153846,0.5555555555555556,0.2941176470588235,0.7108433734939759,10,3,scale,0.3092381798741473,43.16921591758728,3339,166
1967,0.3478260869565217,0.6060606060606061,0.2439024390243902,0.6341463414634146,0.1,scale,0.3613762041029235,0.3092783505154639,0.4545454545454545,0.234375,0.6731707317073171,10,3,scale,0.3124160807995923,40.60000419616699,3505,205
1968,0.2549019607843137,0.3611111111111111,0.1969696969696969,0.6738197424892703,1.0,scale,0.3846050309433607,0.1777777777777777,0.2222222222222222,0.1481481481481481,0.6824034334763949,10,3,scale,0.3496493250531942,50.20017719268799,3710,233
1969,0.3368421052631579,0.4848484848484848,0.2580645161290322,0.6440677966101694,1.0,scale,0.3820621788585175,0.32,0.3636363636363636,0.2857142857142857,0.711864406779661,10,3,scale,0.33526872777533,60.9229941368103,3943,177
1970,0.3053435114503817,0.5128205128205128,0.217391304347826,0.6904761904761905,1.0,scale,0.3786484375793091,0.2247191011235955,0.2564102564102564,0.2,0.7653061224489796,10,3,scale,0.3378707748812056,70.63719487190247,4120,294
1971,0.2045454545454545,0.2727272727272727,0.1636363636363636,0.7338403041825095,1.0,scale,0.373572810218186,0.1558441558441558,0.1818181818181818,0.1363636363636363,0.752851711026616,10,3,scale,0.3232989514841392,24860.45356154442,4414,263
1972,0.3214285714285714,0.5,0.2368421052631578,0.7540453074433657,1.0,scale,0.3615510096555161,0.2891566265060241,0.3333333333333333,0.2553191489361702,0.8090614886731392,10,3,scale,0.3081956076460401,118.40356779098512,4677,309
1973,0.4647887323943662,0.7333333333333333,0.3402061855670103,0.7871148459383753,1.0,scale,0.3662793674387877,0.3865546218487395,0.5111111111111111,0.3108108108108108,0.7955182072829131,10,3,scale,0.3082140671042691,108.0398609638214,4986,357
1974,0.3832335329341317,0.7111111111111111,0.2622950819672131,0.7637614678899083,1.0,scale,0.3699961505256894,0.4193548387096774,0.5777777777777777,0.3291139240506329,0.8348623853211009,10,3,scale,0.2919928926975206,142.24124813079834,5343,436
1975,0.3333333333333333,0.4523809523809524,0.2638888888888889,0.790633608815427,0.1,scale,0.3618138864344656,0.3008849557522124,0.4047619047619047,0.2394366197183098,0.7823691460055097,10,3,scale,0.2878281818434726,166.1720485687256,5779,363
1976,0.4689655172413793,0.7083333333333334,0.3505154639175257,0.8225806451612904,0.1,scale,0.3596737594862875,0.3851851851851852,0.5416666666666666,0.2988505747126437,0.8087557603686636,10,3,scale,0.2904399037897485,24049.30062198639,6142,434
1977,0.2890173410404624,0.4901960784313725,0.2049180327868852,0.7421383647798742,0.1,scale,0.3445938737926047,0.2987012987012987,0.4509803921568627,0.2233009708737864,0.7735849056603774,10,3,scale,0.2865311433309586,325.5511286258697,6576,477
1978,0.2950819672131147,0.5625,0.2,0.7261146496815286,0.1,scale,0.3375323065635844,0.328125,0.4375,0.2625,0.8174097664543525,10,3,scale,0.2862330447015909,334.30274510383606,7053,471
1979,0.3770491803278688,0.5111111111111111,0.2987012987012987,0.8114143920595533,1.0,scale,0.3314212647171383,0.3333333333333333,0.3777777777777777,0.2982456140350877,0.8312655086848635,10,3,scale,0.2990709223110608,250.76368713378903,7524,403
1980,0.3846153846153846,0.7142857142857143,0.2631578947368421,0.7493472584856397,1.0,scale,0.3424821055221745,0.2758620689655172,0.3809523809523809,0.2162162162162162,0.7806788511749347,10,3,scale,0.3064227619920519,269.47775411605835,7927,383
1981,0.422360248447205,0.7555555555555555,0.293103448275862,0.7928730512249443,1.0,scale,0.3530374301297508,0.3407407407407407,0.5111111111111111,0.2555555555555555,0.8017817371937639,10,3,scale,0.2931151272481585,300.7320628166199,8310,449
1982,0.3382352941176471,0.4791666666666667,0.2613636363636363,0.8064516129032258,1.0,scale,0.351442755559493,0.24,0.3125,0.1948051948051948,0.7956989247311828,10,3,scale,0.2878141099409326,334.5885229110718,8759,465
1983,0.4,0.7333333333333333,0.275,0.7665094339622641,1.0,scale,0.3498203550093617,0.3566878980891719,0.6222222222222222,0.25,0.7617924528301887,10,3,scale,0.2853971753742075,375.8096165657044,9224,424
1984,0.3809523809523809,0.75,0.2553191489361702,0.727906976744186,1.0,scale,0.3660356843779018,0.2515723270440251,0.4166666666666667,0.1801801801801801,0.7232558139534884,10,3,scale,0.3004212189292756,544.5279881954193,9648,430
1985,0.4042553191489361,0.7916666666666666,0.2714285714285714,0.7241379310344828,1.0,scale,0.365420459447153,0.3375,0.5625,0.2410714285714285,0.7389162561576355,10,3,scale,0.2953039867322626,553.6047167778015,10078,406
1986,0.4026845637583892,0.625,0.297029702970297,0.7839805825242718,10.0,scale,0.3686632097998516,0.3832335329341317,0.6666666666666666,0.2689075630252101,0.75,10,3,scale,0.2930276054001992,551.2221832275391,10484,412
1987,0.5030674846625767,0.8541666666666666,0.3565217391304348,0.8066825775656324,1.0,scale,0.3647734921216665,0.4054054054054054,0.625,0.3,0.7899761336515513,10,3,scale,0.2795230821964797,618.7804002761841,10896,419
1988,0.4064171122994652,0.7916666666666666,0.2733812949640288,0.7757575757575758,1.0,scale,0.3504294387088582,0.4117647058823529,0.7291666666666666,0.2868852459016393,0.797979797979798,10,3,scale,0.2681982777580623,713.1704361438751,11315,495
1989,0.3934426229508196,0.75,0.2666666666666666,0.8209677419354838,1.0,scale,0.3414990179647953,0.3757575757575757,0.6458333333333334,0.2649572649572649,0.8338709677419355,10,3,scale,0.2658040121480489,733.751434803009,11810,620
1990,0.4365482233502538,0.8958333333333334,0.2885906040268456,0.7952029520295203,1.0,scale,0.3349892222016568,0.4361702127659574,0.8541666666666666,0.2928571428571428,0.8044280442804428,10,3,scale,0.2597040533834507,1182.2515325546265,12430,542
1991,0.3981900452488687,0.9166666666666666,0.2543352601156069,0.7532467532467533,1.0,scale,0.3621802651338244,0.3959390862944162,0.8125,0.261744966442953,0.7792207792207793,10,3,scale,0.2712949279324638,1045.3215556144714,12972,539
1992,0.4432432432432432,0.8541666666666666,0.2992700729927007,0.7845188284518828,1.0,scale,0.3620500572250145,0.3888888888888889,0.7291666666666666,0.2651515151515151,0.7698744769874477,10,3,scale,0.2842545748691893,1306.6058983802795,13511,478
1993,0.5411764705882353,0.9583333333333334,0.3770491803278688,0.8106796116504854,1.0,scale,0.3457165888143066,0.4968152866242038,0.8125,0.3577981651376147,0.808252427184466,10,3,scale,0.2753675255700742,1066.844971656799,13989,412
1994,0.4659090909090909,0.8541666666666666,0.3203125,0.7882882882882883,1.0,scale,0.3612430709276253,0.4444444444444444,0.7083333333333334,0.3238095238095238,0.8085585585585585,10,3,scale,0.2768126467008044,6974.970772504807,14401,444
1995,0.4719101123595505,0.8235294117647058,0.3307086614173228,0.7751196172248804,1.0,scale,0.3552521982665285,0.4571428571428571,0.7843137254901961,0.3225806451612903,0.7727272727272727,10,3,scale,0.2767050622004178,2878.648586511612,14845,418
1996,0.5287356321839081,0.9583333333333334,0.365079365079365,0.7588235294117647,0.1,scale,0.3585080870566666,0.5033112582781457,0.7916666666666666,0.3689320388349514,0.7794117647058824,10,3,scale,0.2831116066673266,19166.95765447617,15263,340
1997,0.4456521739130434,0.803921568627451,0.3082706766917293,0.7287234042553191,0.1,scale,0.3592325250184497,0.4545454545454545,0.7843137254901961,0.32,0.7446808510638298,10,3,scale,0.2799522604129701,1716.2382018566132,15603,376
1998,0.4971098265895953,0.8958333333333334,0.344,0.7507163323782235,0.1,scale,0.3624107139313212,0.4472049689440994,0.75,0.3185840707964602,0.7449856733524355,10,3,scale,0.2882949858396924,2054.8779418468475,15979,349
