episode,return,max_tile,steps,eps_or_alpha,loss_or_td_error,wallclock_s
137,623.0,256,226,0.1,10.53005,21.9
138,1408.0,512,479,0.1,10.53257,22.1
139,1308.0,512,448,0.1,11.20353,22.2
140,373.0,128,146,0.1,9.56588,22.3
141,652.0,256,240,0.1,8.87352,22.4
142,798.0,256,282,0.1,9.13606,22.6
143,1082.0,512,377,0.1,9.67053,22.8
144,547.0,128,203,0.1,10.34587,23.4
145,431.0,128,166,0.1,10.32476,23.5
146,413.0,128,159,0.1,7.49419,23.6
147,479.0,128,180,0.1,10.35835,23.7
148,805.0,256,287,0.1,11.58953,23.8
149,830.0,256,298,0.1,10.10808,23.9
150,501.0,128,184,0.1,9.87065,24.0
151,1304.0,512,446,0.1,11.1956,24.2
152,802.0,256,286,0.1,10.98817,24.3
153,1210.0,512,420,0.1,10.81778,24.8
154,656.0,256,238,0.1,10.16846,24.9
155,441.0,128,168,0.1,11.19296,25.0
156,1272.0,512,438,0.1,10.87192,25.1
157,958.0,512,336,0.1,10.33584,25.3
158,947.0,256,334,0.1,10.22457,25.4
159,1121.0,512,388,0.1,11.31461,25.9
160,1008.0,256,351,0.1,9.98411,26.5
161,697.0,256,250,0.1,10.85605,28.8
162,759.0,256,270,0.1,10.52222,29.0
163,811.0,256,290,0.1,10.7731,29.2
164,771.0,256,276,0.1,10.83956,30.0
165,486.0,128,184,0.1,8.61952,30.6
166,937.0,512,329,0.1,10.94281,30.8
167,902.0,256,321,0.1,10.88026,31.6
168,1275.0,512,439,0.1,12.42479,32.5
169,429.0,128,163,0.1,9.67875,33.1
170,796.0,256,285,0.1,9.963,33.3
171,753.0,256,274,0.1,9.62247,33.8
172,431.0,128,163,0.1,9.97502,33.9
173,823.0,256,293,0.1,10.72366,34.0
174,388.0,128,149,0.1,12.16466,34.5
175,469.0,128,177,0.1,10.49129,34.6
176,652.0,128,239,0.1,11.62142,34.8
177,757.0,256,268,0.1,11.12125,35.0
178,458.0,128,172,0.1,13.22659,35.1
179,931.0,256,330,0.1,10.82077,35.3
180,416.0,128,157,0.1,10.50246,35.4
181,675.0,128,245,0.1,11.59626,35.5
182,1497.0,512,511,0.1,12.16135,35.7
183,476.0,128,181,0.1,9.31108,36.4
184,356.0,128,141,0.1,9.70913,36.8
185,592.0,256,217,0.1,10.70638,36.9
186,1505.0,512,514,0.1,10.86717,37.1
187,636.0,256,230,0.1,10.30674,37.2
188,982.0,256,351,0.1,10.35814,37.7
189,657.0,256,240,0.1,10.06866,38.2
190,1018.0,256,357,0.1,11.29943,38.3
191,666.0,256,239,0.1,11.24692,38.4
192,480.0,128,181,0.1,9.63672,38.5
193,1074.0,512,373,0.1,10.99571,38.7
194,1086.0,512,379,0.1,10.91846,38.8
195,529.0,128,198,0.1,10.22412,39.3
196,700.0,256,253,0.1,11.24909,39.4
197,232.0,64,99,0.1,9.98189,39.4
198,373.0,64,144,0.1,11.60723,39.5
199,435.0,128,166,0.1,11.29277,39.6
200,1069.0,256,371,0.1,11.31789,39.8
201,323.0,64,129,0.1,10.17009,40.3
202,927.0,256,326,0.1,10.07236,40.5
203,256.0,64,108,0.1,10.68624,40.6
204,983.0,512,342,0.1,11.22024,41.0
205,1081.0,512,375,0.1,12.66846,41.3
206,851.0,256,304,0.1,11.16499,41.5
207,833.0,256,297,0.1,12.07034,41.6
208,1093.0,512,380,0.1,12.18412,41.8
209,1164.0,512,402,0.1,11.3979,42.4
210,872.0,256,312,0.1,10.71779,42.9
211,432.0,128,164,0.1,10.04546,43.4
212,882.0,256,314,0.1,10.01751,43.5
213,944.0,256,333,0.1,11.33974,43.6
214,1141.0,512,397,0.1,12.23395,44.2
